@relation T1

@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute class {No,Yes}

@data
0,1,1,0,0,0,1,1,0,1,1,1,1,?
0,1,0,1,1,0,1,0,0,1,1,0,0,?
1,1,0,0,1,0,1,0,0,0,1,0,1,?
1,1,0,1,1,1,1,1,1,1,0,0,0,?
1,1,0,1,1,0,0,0,0,0,1,1,1,?
1,1,1,1,0,1,0,0,0,0,1,0,0,?
1,0,1,1,0,0,1,0,1,1,0,1,0,?
1,0,0,1,1,1,0,1,0,0,1,0,0,?
0,1,1,0,1,1,0,1,1,1,0,1,0,?
1,0,0,0,1,0,0,0,0,1,1,1,0,?
1,1,0,1,0,0,1,1,1,1,0,0,1,?
1,0,1,0,1,1,1,0,1,0,1,1,1,?
0,1,1,0,0,0,1,1,0,1,1,1,1,?
0,1,0,1,1,0,1,0,0,1,1,0,0,?
1,1,0,0,1,0,1,0,0,0,1,0,1,?
1,1,0,1,1,1,1,1,1,1,0,0,0,?
1,1,0,1,1,0,0,0,0,0,1,1,1,?
1,1,1,1,0,1,0,0,0,0,1,0,0,?
1,0,1,1,0,0,1,0,1,1,0,1,0,?
1,0,0,1,1,1,0,1,0,0,1,0,0,?
0,1,1,0,1,1,0,1,1,1,0,1,0,?
1,0,0,0,1,0,0,0,0,1,1,1,0,?
1,1,0,1,0,0,1,1,1,1,0,0,1,?
1,0,1,0,1,1,1,0,1,0,1,1,1,?
0,1,1,0,0,0,1,1,0,1,1,1,1,?
0,1,0,1,1,0,1,0,0,1,1,0,0,?
1,1,0,0,1,0,1,0,0,0,1,0,1,?
1,1,0,1,1,1,1,1,1,1,0,0,0,?
1,1,0,1,1,0,0,0,0,0,1,1,1,?
1,1,1,1,0,1,0,0,0,0,1,0,0,?
1,0,1,1,0,0,1,0,1,1,0,1,0,?
1,0,0,1,1,1,0,1,0,0,1,0,0,?
0,1,1,0,1,1,0,1,1,1,0,1,0,?
1,0,0,0,1,0,0,0,0,1,1,1,0,?
1,1,0,1,0,0,1,1,1,1,0,0,1,?
1,0,1,0,1,1,1,0,1,0,1,1,1,?
0,1,1,0,0,0,1,1,0,1,1,1,1,?
0,1,0,1,1,0,1,0,0,1,1,0,0,?
1,1,0,0,1,0,1,0,0,0,1,0,1,?
1,1,0,1,1,1,1,1,1,1,0,0,0,?
1,1,0,1,1,0,0,0,0,0,1,1,1,?
1,1,1,1,0,1,0,0,0,0,1,0,0,?
1,0,1,1,0,0,1,0,1,1,0,1,0,?
1,0,0,1,1,1,0,1,0,0,1,0,0,?
0,1,1,0,1,1,0,1,1,1,0,1,0,?
1,0,0,0,1,0,0,0,0,1,1,1,0,?
1,1,0,1,0,0,1,1,1,1,0,0,1,?
1,0,1,0,1,1,1,0,1,0,1,1,1,?
0,1,1,0,0,0,1,1,0,1,1,1,1,?
0,1,0,1,1,0,1,0,0,1,1,0,0,?
1,1,0,0,1,0,1,0,0,0,1,0,1,?
1,1,0,1,1,1,1,1,1,1,0,0,0,?
1,1,0,1,1,0,0,0,0,0,1,1,1,?
1,1,1,1,0,1,0,0,0,0,1,0,0,?
1,0,1,1,0,0,1,0,1,1,0,1,0,?
1,0,0,1,1,1,0,1,0,0,1,0,0,?
0,1,1,0,1,1,0,1,1,1,0,1,0,?
1,0,0,0,1,0,0,0,0,1,1,1,0,?
1,1,0,1,0,0,1,1,1,1,0,0,1,?
1,0,1,0,1,1,1,0,1,0,1,1,1,?
0,1,1,0,0,0,1,1,0,1,1,1,1,?
0,1,0,1,1,0,1,0,0,1,1,0,0,?
1,1,0,0,1,0,1,0,0,0,1,0,1,?
1,1,0,1,1,1,1,1,1,1,0,0,0,?
1,1,0,1,1,0,0,0,0,0,1,1,1,?
1,1,1,1,0,1,0,0,0,0,1,0,0,?
1,0,1,1,0,0,1,0,1,1,0,1,0,?
1,0,0,1,1,1,0,1,0,0,1,0,0,?
0,1,1,0,1,1,0,1,1,1,0,1,0,?
1,0,0,0,1,0,0,0,0,1,1,1,0,?
1,1,0,1,0,0,1,1,1,1,0,0,1,?
1,0,1,0,1,1,1,0,1,0,1,1,1,?
0,1,1,0,0,0,1,1,0,1,1,1,1,?
0,1,0,1,1,0,1,0,0,1,1,0,0,?
1,1,0,0,1,0,1,0,0,0,1,0,1,?
1,1,0,1,1,1,1,1,1,1,0,0,0,?
1,1,0,1,1,0,0,0,0,0,1,1,1,?
1,1,1,1,0,1,0,0,0,0,1,0,0,?
1,0,1,1,0,0,1,0,1,1,0,1,0,?
1,0,0,1,1,1,0,1,0,0,1,0,0,?
0,1,1,0,1,1,0,1,1,1,0,1,0,?
1,0,0,0,1,0,0,0,0,1,1,1,0,?
1,1,0,1,0,0,1,1,1,1,0,0,1,?
1,0,1,0,1,1,1,0,1,0,1,1,1,?
0,1,1,0,0,0,1,1,0,1,1,1,1,?
0,1,0,1,1,0,1,0,0,1,1,0,0,?
1,1,0,0,1,0,1,0,0,0,1,0,1,?
1,1,0,1,1,1,1,1,1,1,0,0,0,?
1,1,0,1,1,0,0,0,0,0,1,1,1,?
1,1,1,1,0,1,0,0,0,0,1,0,0,?
1,0,1,1,0,0,1,0,1,1,0,1,0,?
0,0,1,0,1,0,0,0,0,0,1,1,0,?
1,0,0,1,1,1,0,0,0,0,0,1,0,?
1,1,1,1,1,0,1,0,0,0,1,1,0,?
1,0,0,0,0,0,0,1,1,0,0,0,0,?
1,0,0,0,0,0,0,1,1,0,1,1,0,?
1,0,1,1,0,1,0,0,1,1,1,0,0,?
1,1,0,1,0,0,1,0,0,0,0,1,0,?
0,0,1,0,0,1,1,0,1,1,0,0,1,?
1,1,1,1,1,1,1,0,0,1,1,0,1,?
1,0,0,0,1,0,1,1,0,1,0,1,1,?
0,0,1,1,1,0,0,1,1,0,0,0,1,?
0,1,1,1,0,1,0,0,0,1,0,1,0,?
0,0,1,0,1,0,0,0,0,0,1,1,0,?
1,0,0,1,1,1,0,0,0,0,0,1,0,?
1,1,1,1,1,0,1,0,0,0,1,1,0,?
1,0,0,0,0,0,0,1,1,0,0,0,0,?
1,0,0,0,0,0,0,1,1,0,1,1,0,?
1,0,1,1,0,1,0,0,1,1,1,0,0,?
1,1,0,1,0,0,1,0,0,0,0,1,0,?
0,0,1,0,0,1,1,0,1,1,0,0,1,?
1,1,1,1,1,1,1,0,0,1,1,0,1,?
1,0,0,0,1,0,1,1,0,1,0,1,1,?
0,0,1,1,1,0,0,1,1,0,0,0,1,?
0,1,1,1,0,1,0,0,0,1,0,1,0,?
0,0,1,0,1,0,0,0,0,0,1,1,0,?
1,0,0,1,1,1,0,0,0,0,0,1,0,?
1,1,1,1,1,0,1,0,0,0,1,1,0,?
1,0,0,0,0,0,0,1,1,0,0,0,0,?
1,0,0,0,0,0,0,1,1,0,1,1,0,?
1,0,1,1,0,1,0,0,1,1,1,0,0,?
1,1,0,1,0,0,1,0,0,0,0,1,0,?
0,0,1,0,0,1,1,0,1,1,0,0,1,?
1,1,1,1,1,1,1,0,0,1,1,0,1,?
1,0,0,0,1,0,1,1,0,1,0,1,1,?
0,0,1,1,1,0,0,1,1,0,0,0,1,?
0,1,1,1,0,1,0,0,0,1,0,1,0,?
0,0,1,0,1,0,0,0,0,0,1,1,0,?
1,0,0,1,1,1,0,0,0,0,0,1,0,?
1,1,1,1,1,0,1,0,0,0,1,1,0,?
1,0,0,0,0,0,0,1,1,0,0,0,0,?
1,0,0,0,0,0,0,1,1,0,1,1,0,?
1,0,1,1,0,1,0,0,1,1,1,0,0,?
1,1,0,1,0,0,1,0,0,0,0,1,0,?
0,0,1,0,0,1,1,0,1,1,0,0,1,?
1,1,1,1,1,1,1,0,0,1,1,0,1,?
1,0,0,0,1,0,1,1,0,1,0,1,1,?
0,0,1,1,1,0,0,1,1,0,0,0,1,?
0,1,1,1,0,1,0,0,0,1,0,1,0,?
0,0,1,0,1,0,0,0,0,0,1,1,0,?
1,0,0,1,1,1,0,0,0,0,0,1,0,?
1,1,1,1,1,0,1,0,0,0,1,1,0,?
1,0,0,0,0,0,0,1,1,0,0,0,0,?
1,0,0,0,0,0,0,1,1,0,1,1,0,?
1,0,1,1,0,1,0,0,1,1,1,0,0,?
1,1,0,1,0,0,1,0,0,0,0,1,0,?
0,0,1,0,0,1,1,0,1,1,0,0,1,?
1,1,1,1,1,1,1,0,0,1,1,0,1,?
1,0,0,0,1,0,1,1,0,1,0,1,1,?
0,0,1,1,1,0,0,1,1,0,0,0,1,?
0,1,1,1,0,1,0,0,0,1,0,1,0,?
0,0,1,0,1,0,0,0,0,0,1,1,0,?
1,0,0,1,1,1,0,0,0,0,0,1,0,?
1,1,1,1,1,0,1,0,0,0,1,1,0,?
1,0,0,0,0,0,0,1,1,0,0,0,0,?
1,0,0,0,0,0,0,1,1,0,1,1,0,?
1,0,1,1,0,1,0,0,1,1,1,0,0,?
1,1,0,1,0,0,1,0,0,0,0,1,0,?
0,0,1,0,0,1,1,0,1,1,0,0,1,?
1,1,1,1,1,1,1,0,0,1,1,0,1,?
1,0,0,0,1,0,1,1,0,1,0,1,1,?
0,0,1,1,1,0,0,1,1,0,0,0,1,?
0,1,1,1,0,1,0,0,0,1,0,1,0,?
0,0,1,0,1,0,0,0,0,0,1,1,0,?
1,0,0,1,1,1,0,0,0,0,0,1,0,?
1,1,1,1,1,0,1,0,0,0,1,1,0,?
1,0,0,0,0,0,0,1,1,0,0,0,0,?
1,0,0,0,0,0,0,1,1,0,1,1,0,?
1,0,1,1,0,1,0,0,1,1,1,0,0,?
1,1,0,1,0,0,1,0,0,0,0,1,0,?
0,0,1,0,0,1,1,0,1,1,0,0,1,?
1,1,1,1,1,1,1,0,0,1,1,0,1,?
1,0,0,0,1,0,1,1,0,1,0,1,1,?
0,0,1,1,1,0,0,1,1,0,0,0,1,?
0,1,1,1,0,1,0,0,0,1,0,1,0,?
0,0,1,0,1,0,0,0,0,0,1,1,0,?
1,0,0,1,1,1,0,0,0,0,0,1,0,?
1,1,1,1,1,0,1,0,0,0,1,1,0,?
1,0,0,0,0,0,0,1,1,0,0,0,0,?
1,0,0,0,0,0,0,1,1,0,1,1,0,?
1,0,1,1,0,1,0,0,1,1,1,0,0,?
1,1,0,1,0,0,1,0,0,0,0,1,0,?
0,0,1,0,0,1,1,0,1,1,0,0,1,?
1,1,1,1,1,1,1,0,0,1,1,0,1,?
1,0,0,0,1,0,1,1,0,1,0,1,1,?
0,0,1,1,1,0,0,1,1,0,0,0,1,?
0,1,1,1,0,1,0,0,0,1,0,1,0,?
0,0,1,0,1,0,0,0,0,0,1,1,0,?
1,0,0,1,1,1,0,0,0,0,0,1,0,?
1,1,1,1,1,0,1,0,0,0,1,1,0,?
1,0,0,0,0,0,0,1,1,0,0,0,0,?
1,0,0,0,0,0,0,1,1,0,1,1,0,?
1,0,1,1,0,1,0,0,1,1,1,0,0,?
1,1,0,1,0,0,1,0,0,0,0,1,0,?
0,0,1,0,0,1,1,0,1,1,0,0,1,?
1,1,1,1,1,1,1,0,0,1,1,0,1,?
1,0,0,0,1,0,1,1,0,1,0,1,1,?
0,0,1,1,1,0,0,1,1,0,0,0,1,?
0,1,1,1,0,1,0,0,0,1,0,1,0,?
1,1,1,0,0,0,0,0,1,0,1,0,0,?
1,1,1,0,1,0,0,1,1,0,0,0,0,?
1,1,0,1,1,1,1,0,0,0,0,1,1,?
1,1,1,0,1,1,0,1,0,1,1,1,0,?
1,1,1,0,0,0,0,0,1,0,1,0,0,?
1,1,1,0,1,0,0,1,1,0,0,0,0,?
1,1,0,1,1,1,1,0,0,0,0,1,1,?
1,1,1,0,1,1,0,1,0,1,1,1,0,?
1,1,1,0,0,0,0,0,1,0,1,0,0,?
1,1,1,0,1,0,0,1,1,0,0,0,0,?
1,1,1,0,1,1,0,1,0,1,1,1,0,?

